FQDN,IP,DNS_time_ms,HTTP_handshake_time_ms
va.com,34.206.39.153,9.55,464.86
meinestadt.com,62.138.237.66,8.55,478.35
blibli.com,104.18.5.182,3.24,66.90
tractorsupply.com,198.140.189.15,8.01,1235.23
bostonglobe.com,198.115.82.77,5.32,932.99
cancioneros.com,151.236.32.60,2.40,310.23
barrons.com,13.32.63.45,11.76,169.34
jcpenney.com,23.198.103.20,48.78,143.79
usgs.com,104.143.9.111,10.89,490.17
opengovus.com,192.124.249.156,16.82,48.72
wikipedia.org,103.102.166.224,9.21,92.69
youtube.com,142.250.182.78,10.94,270.50
pinterest.com,151.101.0.84,7.93,36.06
google.com,172.217.166.110,3.28,252.34
facebook.com,31.13.79.35,10.85,874.78
gizmodo.com,151.101.66.166,2.57,92.00
yelp.com,199.232.104.116,5.04,35.08
scotsman.com,217.135.75.221,3.36,404.99
ucsd.com,103.224.182.246,3.31,509.87
techadvisor.com,104.18.22.14,3.19,14.78
amazon.com,176.32.103.205,3.54,1191.49
thebalance.com,151.101.194.137,4.00,37.69
youtube.com,142.250.196.14,2.18,261.77
pinterest.com,151.101.192.84,4.39,40.68
google.com,172.217.166.110,0.89,236.45
amarujala.com,104.16.205.36,3.02,11.30
facebook.com,157.240.23.35,2.46,880.71
socratic.com,216.239.38.21,38.87,54.12
brides.com,151.101.194.137,3.36,40.30
google.com.com,45.32.185.198,3.23,1852.12
bonappetit.com,151.101.0.239,3.41,64.28
unc.com,86.105.245.69,3.17,354.74
thestar.com,18.161.111.45,5.06,245.80
jagran.com,34.93.52.48,9.12,54.36
idntimes.com,163.53.193.44,4.62,707.61
linkedin.com,13.107.42.14,2.39,8.09
manchestereveningnews.co.com,173.192.115.17,2.46,3007.38
quora.com,52.0.9.179,2.40,1400.16
fandom.com,151.101.192.194,4.91,58.83
ebay.com.com,45.32.185.198,3.89,2719.80
wordpress.com,192.0.78.9,3.14,47.65
yahoo.com,98.137.11.164,3.61,543.92
apple.com,17.253.144.10,3.61,83.42
ebay.com,66.211.172.37,5.86,933.80
etsy.com,151.101.1.224,3.59,35.17
yelp.com,199.232.104.116,0.34,36.42
nytimes.com,151.101.129.164,13.81,42.21
walmart.com,161.170.232.170,3.53,518.59
nih.com,54.235.145.223,3.12,451.52
theguardian.com,151.101.1.111,4.20,39.78
medium.com,162.159.153.4,3.66,30.00
britannica.com,54.151.249.170,3.46,308.40
imdb.com,52.94.237.74,3.34,1163.90
indeed.com,169.44.165.64,25.50,1226.70
researchgate.com,176.9.150.87,6.29,813.93
reverso.com,54.36.69.215,4.14,1043.84
forbes.com,151.101.2.49,5.06,38.96
foursquare.com,151.101.66.132,3.31,36.36
microsoft.com,20.112.52.29,3.49,609.15
target.com,151.101.2.187,96.43,47.11
bbc.com,151.101.64.81,3.24,64.02
mapquest.com,54.173.193.232,3.78,1452.24
indiatimes.com,118.214.39.26,4.43,10.37
tiktok.com,202.83.21.14,2.92,31.54
spotify.com,35.186.224.25,3.59,172.89
aliexpress.com,47.254.177.101,59.62,428.37
wikihow.com,151.101.66.137,2.50,34.26
sciencedirect.com,162.159.130.81,3.24,17.72
shutterstock.com,75.2.58.105,4.28,1210.80
flipkart.com,163.53.78.110,2.94,881.24
independent.co.uk,151.101.193.184,162.65,59.99
redbubble.com,104.18.34.248,3.55,18.28
yellow.place,213.239.212.21,2.52,302.28
waze.com,130.211.9.172,38.32,310.95
tripadvisor.com,151.101.130.28,4.72,3888.63
yourdictionary.com,13.33.146.71,4.48,10.34
glassdoor.com,104.17.90.51,7.12,14.15
github.com,13.234.210.38,3.52,120.90
reuters.com,52.2.61.110,3.26,832.32
mayoclinic.org,129.176.1.88,3.89,566.70
booking.com,5.57.16.220,4.03,492.51
amazon.co.uk,54.239.34.171,2.76,1097.25
medicalnewstoday.com,52.84.45.100,5.33,245.25
npr.org,216.35.221.76,2.51,717.75
indiamart.com,35.190.37.46,2.61,362.05
genius.com,104.18.19.96,3.70,15.76
bestbuy.com,104.97.28.176,28.49,10.75
lowes.com,104.97.28.115,78.94,11.46
dreamstime.com,169.62.154.242,3.31,1392.23
bloomberg.com,69.187.24.15,3.50,462.17
moviecultists.com,147.182.135.93,3.18,462.34
moovitapp.com,13.33.146.36,3.20,11.06
tumblr.com,74.114.154.17,3.37,591.44
usnews.com,23.35.83.223,3.50,10.19
jstor.org,151.101.128.152,3.50,69.91
istockphoto.com,13.33.171.127,4.90,11.02
wikiwand.com,18.233.32.184,13.70,1468.02
msn.com,13.82.28.61,3.35,538.67
dnb.com,23.47.255.55,69.17,10.36
dictionary.com,151.101.2.133,3.42,42.99
zoominfo.com,104.16.168.82,3.49,29.40
bbc.co.uk,151.101.64.81,3.52,54.44
latimes.com,76.223.88.230,4.15,428.03
screenrant.com,34.202.200.131,3.91,1015.04
homedepot.com,35.201.95.83,3.71,3393.92
slideshare.net,34.197.120.34,7.27,1368.57
usatoday.com,199.232.106.62,3.62,31.62
yellow.place,213.239.212.21,1.11,367.99
stackexchange.com,151.101.129.69,4.08,45.67
collinsdictionary.com,104.20.190.42,3.97,75.21
webmd.com,207.231.204.56,3.71,512.79
merriam-webster.com,13.33.146.42,7.27,41.77
flipkart.com,163.53.78.110,0.56,1717.12
thefreedictionary.com,194.156.79.248,3.52,459.27
washingtonpost.com,13.33.146.78,10.85,11.46
vymaps.com,3.6.118.31,3.40,50.61
cnet.com,34.149.196.126,20.59,264.55
wiktionary.org,103.102.166.224,148.23,87.12
alibaba.com,47.246.136.125,5.59,776.99
wikiwand.com,44.195.202.119,0.61,1493.69
goodreads.com,52.94.226.87,30.52,2054.70
moovitapp.com,13.33.146.94,2.67,17.26
usnews.com,23.35.83.223,0.95,10.64
jstor.org,151.101.0.152,0.84,38.08
istockphoto.com,13.33.171.111,1.20,12.53
msn.com,13.82.28.61,0.84,522.27
tumblr.com,74.114.154.21,0.85,598.30
dnb.com,23.47.255.55,3.88,12.46
dictionary.com,151.101.130.133,0.91,36.52
zoominfo.com,104.16.101.12,0.97,20.74
bbc.co.uk,151.101.0.81,1.20,59.74
latimes.com,13.248.222.133,1.12,416.02
homedepot.com,35.201.95.83,0.90,3413.30
wikihow.com,151.101.194.137,1.03,64.21
sciencedirect.com,162.159.129.81,0.98,22.12
soundcloud.com,13.33.146.103,3.51,10.27
cambridge.org,104.16.55.52,3.01,77.46
screenrant.com,34.202.200.131,0.90,1080.51
cnn.com,151.101.65.67,4.13,38.59
dailymail.co.uk,23.210.76.152,3.69,10.85
healthline.com,52.84.45.64,5.48,238.58
slideshare.net,107.23.225.250,0.43,1288.27
businessinsider.com,151.101.65.171,4.07,45.44
dailymotion.com,195.8.215.136,3.37,614.08
usatoday.com,199.232.106.62,0.96,40.95
yellowpages.com,151.138.15.18,45.30,1405.33
stackexchange.com,151.101.193.69,1.38,79.44
collinsdictionary.com,172.67.19.203,1.10,69.35
webmd.com,207.231.204.56,0.44,520.52
merriam-webster.com,13.33.146.45,1.92,11.96
cnet.com,34.149.196.126,0.70,244.39
thefreedictionary.com,194.156.79.248,0.90,457.50
washingtonpost.com,13.33.146.80,1.03,10.19
alamy.com,31.221.62.226,5.76,2293.74
vymaps.com,3.6.118.31,3.46,69.29
alibaba.com,47.246.137.166,1.10,480.56
tumblr.com,74.114.154.21,0.91,582.96
bbc.com,151.101.0.81,1.22,83.41
tiktok.com,202.83.21.14,3.56,26.46
indiatimes.com,118.214.39.26,0.92,11.39
goodreads.com,54.239.26.220,1.08,1809.53
spotify.com,35.186.224.25,0.35,127.43
aliexpress.com,47.254.177.101,0.90,1313.56
wikihow.com,151.101.194.137,0.52,31.82
sciencedirect.com,162.159.129.81,1.02,17.47
soundcloud.com,13.33.146.18,1.09,11.81
cambridge.org,104.16.56.52,1.09,70.14
cnn.com,151.101.1.67,1.26,46.07
healthline.com,52.84.45.107,1.07,342.19
dailymail.co.uk,23.210.76.152,0.85,10.64
shutterstock.com,99.83.219.164,1.56,1087.08
theguardian.com,151.101.193.111,1.99,39.93
medium.com,162.159.152.4,1.18,16.45
usnews.com,23.35.83.223,0.69,10.45
jstor.org,151.101.0.152,1.07,58.07
homedepot.com,35.201.95.83,1.36,3292.36
researchgate.net,104.17.32.105,3.33,13.92
britannica.com,54.254.179.144,4.66,270.08
reverso.net,54.36.69.215,147.35,1264.57
alamy.com,31.221.62.226,0.91,2423.38
forbes.com,151.101.194.49,0.39,31.31
foursquare.com,151.101.130.132,0.97,53.86
microsoft.com,20.53.203.50,0.57,337.51
target.com,151.101.66.187,1.13,38.03
mapquest.com,3.227.109.197,2.01,1373.28
tripadvisor.com,151.101.66.28,2.02,3435.60
fandom.com,151.101.64.194,1.09,51.18
quora.com,54.167.163.108,1.27,1318.29
ebay.com,64.4.253.77,1.56,1071.84
wordpress.com,192.0.78.17,2.13,62.31
jstor.org,151.101.0.152,0.97,40.26
yahoo.com,98.137.11.163,1.10,502.04
apple.com,17.253.144.10,0.81,80.56
etsy.com,151.101.193.224,1.06,34.48
yelp.com,199.232.104.116,5.11,78.76
yelp.com,199.232.104.116,0.81,38.63
nytimes.com,151.101.65.164,1.03,47.65
tumblr.com,74.114.154.21,1.10,508.79
walmart.com,161.170.232.170,24.26,512.87
nih.gov,54.235.145.223,3.51,525.33
imdb.com,52.94.225.248,1.19,1343.22
indeed.com,169.44.165.64,0.92,1256.34
